n,r,m
"(:Release:Release_depend:Release_depend_SemVer {id: info.bitrich.xchange-stream:service-wamp:4.3.1,artifact_id: info.bitrich.xchange-stream:service-wamp,version: 4.3.1,timestamp: 1513867247000})","[:dependency {scope: test,targetVersion: 2.6.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: info.bitrich.xchange-stream:service-wamp:4.3.2,artifact_id: info.bitrich.xchange-stream:service-wamp,version: 4.3.2,timestamp: 1521121989000})","[:dependency_to_log4j_SemVer {targetVersion: 2.6.2,timestamp: 1467773419000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: info.bitrich.xchange-stream:service-wamp:4.3.2,artifact_id: info.bitrich.xchange-stream:service-wamp,version: 4.3.2,timestamp: 1521121989000})",[:dependency_to_log4j {targetVersion: 2.6.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: info.bitrich.xchange-stream:service-wamp:4.3.2,artifact_id: info.bitrich.xchange-stream:service-wamp,version: 4.3.2,timestamp: 1521121989000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: info.bitrich.xchange-stream:service-wamp:4.3.2,artifact_id: info.bitrich.xchange-stream:service-wamp,version: 4.3.2,timestamp: 1521121989000})","[:dependency {scope: test,targetVersion: 2.6.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: com.github.switcherapi:switcher-client:1.0.10-SNAOSHOT,artifact_id: com.github.switcherapi:switcher-client,version: 1.0.10-SNAOSHOT,timestamp: 1611112395000})",[:dependency_to_log4j {targetVersion: 2.13.3}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: com.github.switcherapi:switcher-client:1.0.10-SNAOSHOT,artifact_id: com.github.switcherapi:switcher-client,version: 1.0.10-SNAOSHOT,timestamp: 1611112395000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: com.github.switcherapi:switcher-client:1.0.10-SNAOSHOT,artifact_id: com.github.switcherapi:switcher-client,version: 1.0.10-SNAOSHOT,timestamp: 1611112395000})","[:dependency {scope: compile,targetVersion: 2.13.3}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-remote:10.1.3.Final,artifact_id: org.infinispan:infinispan-jcache-remote,version: 10.1.3.Final,timestamp: 1582735610000})",[:dependency_to_log4j {targetVersion: 2.11.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-remote:10.1.3.Final,artifact_id: org.infinispan:infinispan-jcache-remote,version: 10.1.3.Final,timestamp: 1582735610000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-remote:10.1.3.Final,artifact_id: org.infinispan:infinispan-jcache-remote,version: 10.1.3.Final,timestamp: 1582735610000})","[:dependency {scope: test,targetVersion: 2.11.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-javadoc-remote:9.4.13.Final,artifact_id: org.infinispan:infinispan-javadoc-remote,version: 9.4.13.Final,timestamp: 1557258776000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-javadoc-remote:9.4.13.Final,artifact_id: org.infinispan:infinispan-javadoc-remote,version: 9.4.13.Final,timestamp: 1557258776000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-javadoc-remote:9.4.13.Final,artifact_id: org.infinispan:infinispan-javadoc-remote,version: 9.4.13.Final,timestamp: 1557258776000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph.commit:janusgraph-es:1.0.0-20221216-165947.b320db9,artifact_id: org.janusgraph.commit:janusgraph-es,version: 1.0.0-20221216-165947.b320db9,timestamp: 1671210312000})",[:dependency_to_log4j {targetVersion: 2.19.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph.commit:janusgraph-es:1.0.0-20221216-165947.b320db9,artifact_id: org.janusgraph.commit:janusgraph-es,version: 1.0.0-20221216-165947.b320db9,timestamp: 1671210312000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph.commit:janusgraph-es:1.0.0-20221216-165947.b320db9,artifact_id: org.janusgraph.commit:janusgraph-es,version: 1.0.0-20221216-165947.b320db9,timestamp: 1671210312000})","[:dependency {scope: runtime,targetVersion: 2.19.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.4.0,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.4.0,timestamp: 1693864122000})","[:dependency_to_log4j_SemVer {targetVersion: 2.20.0,timestamp: 1676697665000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.4.0,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.4.0,timestamp: 1693864122000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.4.0,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.4.0,timestamp: 1693864122000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.netflix.iep-apps:atlas-druid_2.13:0.4.0,artifact_id: com.netflix.iep-apps:atlas-druid_2.13,version: 0.4.0,timestamp: 1693864122000})","[:dependency {scope: compile,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-extended-statistics:9.4.13.Final,artifact_id: org.infinispan:infinispan-extended-statistics,version: 9.4.13.Final,timestamp: 1557259081000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-extended-statistics:9.4.13.Final,artifact_id: org.infinispan:infinispan-extended-statistics,version: 9.4.13.Final,timestamp: 1557259081000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-extended-statistics:9.4.13.Final,artifact_id: org.infinispan:infinispan-extended-statistics,version: 9.4.13.Final,timestamp: 1557259081000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.logging.log4j:log4j-api-kotlin-benchmark:1.2.0,artifact_id: org.apache.logging.log4j:log4j-api-kotlin-benchmark,version: 1.2.0,timestamp: 1655571205000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.2,timestamp: 1645648162000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.logging.log4j:log4j-api-kotlin-benchmark:1.2.0,artifact_id: org.apache.logging.log4j:log4j-api-kotlin-benchmark,version: 1.2.0,timestamp: 1655571205000})",[:dependency_to_log4j {targetVersion: 2.17.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.logging.log4j:log4j-api-kotlin-benchmark:1.2.0,artifact_id: org.apache.logging.log4j:log4j-api-kotlin-benchmark,version: 1.2.0,timestamp: 1655571205000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.logging.log4j:log4j-api-kotlin-benchmark:1.2.0,artifact_id: org.apache.logging.log4j:log4j-api-kotlin-benchmark,version: 1.2.0,timestamp: 1655571205000})","[:dependency {scope: runtime,targetVersion: 2.17.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha1,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha1,timestamp: 1542710071000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha1,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha1,timestamp: 1542710071000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha1,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha1,timestamp: 1542710071000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha3,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha3,timestamp: 1548574684000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha3,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha3,timestamp: 1548574684000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha3,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha3,timestamp: 1548574684000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha2,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha2,timestamp: 1544190856000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha2,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha2,timestamp: 1544190856000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-tck-runner:10.0.0.Alpha2,artifact_id: org.infinispan:infinispan-jcache-tck-runner,version: 10.0.0.Alpha2,timestamp: 1544190856000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-security-integrationtests:12.1.9.Final,artifact_id: org.infinispan:infinispan-security-integrationtests,version: 12.1.9.Final,timestamp: 1639751289000})",[:dependency_to_log4j {targetVersion: 2.16.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-security-integrationtests:12.1.9.Final,artifact_id: org.infinispan:infinispan-security-integrationtests,version: 12.1.9.Final,timestamp: 1639751289000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-security-integrationtests:12.1.9.Final,artifact_id: org.infinispan:infinispan-security-integrationtests,version: 12.1.9.Final,timestamp: 1639751289000})","[:dependency {scope: test,targetVersion: 2.16.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.skywalking:storage-zipkin-elasticsearch7-plugin:8.5.0,artifact_id: org.apache.skywalking:storage-zipkin-elasticsearch7-plugin,version: 8.5.0,timestamp: 1617980329000})","[:dependency_to_log4j_SemVer {targetVersion: 2.9.0,timestamp: 1503780573000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.skywalking:storage-zipkin-elasticsearch7-plugin:8.5.0,artifact_id: org.apache.skywalking:storage-zipkin-elasticsearch7-plugin,version: 8.5.0,timestamp: 1617980329000})",[:dependency_to_log4j {targetVersion: 2.9.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.skywalking:storage-zipkin-elasticsearch7-plugin:8.5.0,artifact_id: org.apache.skywalking:storage-zipkin-elasticsearch7-plugin,version: 8.5.0,timestamp: 1617980329000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apache.skywalking:storage-zipkin-elasticsearch7-plugin:8.5.0,artifact_id: org.apache.skywalking:storage-zipkin-elasticsearch7-plugin,version: 8.5.0,timestamp: 1617980329000})","[:dependency {scope: compile,targetVersion: 2.9.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph:janusgraph-hadoop:1.0.0-20230804-222847.6d3ec8d,artifact_id: org.janusgraph:janusgraph-hadoop,version: 1.0.0-20230804-222847.6d3ec8d,timestamp: 1691188787000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph:janusgraph-hadoop:1.0.0-20230804-222847.6d3ec8d,artifact_id: org.janusgraph:janusgraph-hadoop,version: 1.0.0-20230804-222847.6d3ec8d,timestamp: 1691188787000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph:janusgraph-hadoop:1.0.0-20230804-222847.6d3ec8d,artifact_id: org.janusgraph:janusgraph-hadoop,version: 1.0.0-20230804-222847.6d3ec8d,timestamp: 1691188787000})","[:dependency {scope: runtime,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph:example-common:1.0.0-20230204-005921.915a2d7,artifact_id: org.janusgraph:example-common,version: 1.0.0-20230204-005921.915a2d7,timestamp: 1675472648000})",[:dependency_to_log4j {targetVersion: 2.19.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph:example-common:1.0.0-20230204-005921.915a2d7,artifact_id: org.janusgraph:example-common,version: 1.0.0-20230204-005921.915a2d7,timestamp: 1675472648000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.janusgraph:example-common:1.0.0-20230204-005921.915a2d7,artifact_id: org.janusgraph:example-common,version: 1.0.0-20230204-005921.915a2d7,timestamp: 1675472648000})","[:dependency {scope: runtime,targetVersion: 2.19.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-integrationtests-parent:9.4.0.Final,artifact_id: org.infinispan:infinispan-integrationtests-parent,version: 9.4.0.Final,timestamp: 1538947746000})",[:dependency_to_log4j {targetVersion: 2.8.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-integrationtests-parent:9.4.0.Final,artifact_id: org.infinispan:infinispan-integrationtests-parent,version: 9.4.0.Final,timestamp: 1538947746000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-integrationtests-parent:9.4.0.Final,artifact_id: org.infinispan:infinispan-integrationtests-parent,version: 9.4.0.Final,timestamp: 1538947746000})","[:dependency {scope: test,targetVersion: 2.8.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-ldap-monitor:5.0.3.1,artifact_id: org.apereo.cas:cas-server-support-ldap-monitor,version: 5.0.3.1,timestamp: 1487715973000})","[:dependency {scope: compile,targetVersion: 2.6.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-ldap-monitor:5.0.3.1,artifact_id: org.apereo.cas:cas-server-support-ldap-monitor,version: 5.0.3.1,timestamp: 1487715973000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-ldap-monitor:5.0.3.1,artifact_id: org.apereo.cas:cas-server-support-ldap-monitor,version: 5.0.3.1,timestamp: 1487715973000})",[:dependency_to_log4j {targetVersion: 2.6.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-u2f:6.0.5.1,artifact_id: org.apereo.cas:cas-server-support-u2f,version: 6.0.5.1,timestamp: 1569144637000})","[:dependency {scope: test,targetVersion: 2.11.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-u2f:6.0.5.1,artifact_id: org.apereo.cas:cas-server-support-u2f,version: 6.0.5.1,timestamp: 1569144637000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.apereo.cas:cas-server-support-u2f:6.0.5.1,artifact_id: org.apereo.cas:cas-server-support-u2f,version: 6.0.5.1,timestamp: 1569144637000})",[:dependency_to_log4j {targetVersion: 2.11.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.sap.hcp.cf.logging:cf-java-logging-support-log4j2:2.0.10,artifact_id: com.sap.hcp.cf.logging:cf-java-logging-support-log4j2,version: 2.0.10,timestamp: 1480346106000})",[:dependency_to_log4j {targetVersion: 2.7}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.sap.hcp.cf.logging:cf-java-logging-support-log4j2:2.0.10,artifact_id: com.sap.hcp.cf.logging:cf-java-logging-support-log4j2,version: 2.0.10,timestamp: 1480346106000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.sap.hcp.cf.logging:cf-java-logging-support-log4j2:2.0.10,artifact_id: com.sap.hcp.cf.logging:cf-java-logging-support-log4j2,version: 2.0.10,timestamp: 1480346106000})","[:dependency {scope: provided,targetVersion: 2.7}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-2,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-2,timestamp: 1688485851000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-2,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-2,timestamp: 1688485851000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-2,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-2,timestamp: 1688485851000})","[:dependency {scope: test,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-1,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-1,timestamp: 1684937562000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-1,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-1,timestamp: 1684937562000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-1,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-1,timestamp: 1684937562000})","[:dependency {scope: test,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-3,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-3,timestamp: 1689094409000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-3,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-3,timestamp: 1689094409000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: fr.ird.ob7:driver-anapo:4.0.0-RC-3,artifact_id: fr.ird.ob7:driver-anapo,version: 4.0.0-RC-3,timestamp: 1689094409000})","[:dependency {scope: test,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-testdriver-parent-pom:14.0.16.Final,artifact_id: org.infinispan:infinispan-testdriver-parent-pom,version: 14.0.16.Final,timestamp: 1693827230000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-testdriver-parent-pom:14.0.16.Final,artifact_id: org.infinispan:infinispan-testdriver-parent-pom,version: 14.0.16.Final,timestamp: 1693827230000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend {id: org.infinispan:infinispan-testdriver-parent-pom:14.0.16.Final,artifact_id: org.infinispan:infinispan-testdriver-parent-pom,version: 14.0.16.Final,timestamp: 1693827230000})","[:dependency {scope: test,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.0,artifact_id: software.amazon.awssdk:eks,version: 2.18.0,timestamp: 1666306477000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.1,timestamp: 1640647854000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.0,artifact_id: software.amazon.awssdk:eks,version: 2.18.0,timestamp: 1666306477000})",[:dependency_to_log4j {targetVersion: 2.17.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.0,artifact_id: software.amazon.awssdk:eks,version: 2.18.0,timestamp: 1666306477000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.0,artifact_id: software.amazon.awssdk:eks,version: 2.18.0,timestamp: 1666306477000})","[:dependency {scope: test,targetVersion: 2.17.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.1,artifact_id: software.amazon.awssdk:eks,version: 2.18.1,timestamp: 1666391656000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.1,timestamp: 1640647854000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.1,artifact_id: software.amazon.awssdk:eks,version: 2.18.1,timestamp: 1666391656000})",[:dependency_to_log4j {targetVersion: 2.17.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.1,artifact_id: software.amazon.awssdk:eks,version: 2.18.1,timestamp: 1666391656000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.1,artifact_id: software.amazon.awssdk:eks,version: 2.18.1,timestamp: 1666391656000})","[:dependency {scope: test,targetVersion: 2.17.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.2,artifact_id: software.amazon.awssdk:eks,version: 2.18.2,timestamp: 1666645952000})","[:dependency_to_log4j_SemVer {targetVersion: 2.17.1,timestamp: 1640647854000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: software.amazon.awssdk:eks:2.18.2,artifact_id: software.amazon.awssdk:eks,version: 2.18.2,timestamp: 1666645952000})",[:dependency_to_log4j {targetVersion: 2.17.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
