n,r,m
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.4,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.4,timestamp: 1555507676000})",[:dependency_to_log4j {targetVersion: 2.11.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.4,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.4,timestamp: 1555507676000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.4,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.4,timestamp: 1555507676000})","[:dependency {scope: test,targetVersion: 2.11.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.6,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.6,timestamp: 1561039062000})","[:dependency_to_log4j_SemVer {targetVersion: 2.11.2,timestamp: 1549415573000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.6,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.6,timestamp: 1561039062000})",[:dependency_to_log4j {targetVersion: 2.11.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.6,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.6,timestamp: 1561039062000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.6,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.6,timestamp: 1561039062000})","[:dependency {scope: test,targetVersion: 2.11.2}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.3,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.3,timestamp: 1555341973000})","[:dependency_to_log4j_SemVer {targetVersion: 2.11.2,timestamp: 1549415573000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.3,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.3,timestamp: 1555341973000})",[:dependency_to_log4j {targetVersion: 2.11.2}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: com.github.nijian.jkeel:jkeel-report-jasper:0.0.3,artifact_id: com.github.nijian.jkeel:jkeel-report-jasper,version: 0.0.3,timestamp: 1555341973000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
