n,r,m
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.66,version: 2.13.66,timestamp: 1596223205000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.67,version: 2.13.67,timestamp: 1596492182000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.68,version: 2.13.68,timestamp: 1596568479000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.69,version: 2.13.69,timestamp: 1596654447000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.70,version: 2.13.70,timestamp: 1596740803000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.71,version: 2.13.71,timestamp: 1596841556000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.72,version: 2.13.72,timestamp: 1597086016000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.73,version: 2.13.73,timestamp: 1597173282000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.74,version: 2.13.74,timestamp: 1597263888000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.75,version: 2.13.75,timestamp: 1597345733000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.76,version: 2.13.76,timestamp: 1597432905000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wicketstuff:scriptaculous-examples:1.4.7.1,version: 1.4.7.1,timestamp: 1294762882000})","[:dependency {scope: compile,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.apache.servicemix:servicemix-jsr181:2013.01,version: 2013.01,timestamp: 1358283527000})","[:dependency {scope: test,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.janusgraph:janusgraph-berkeleyje:0.6.4-20230904-172159.f486914,version: 0.6.4-20230904-172159.f486914,timestamp: 1693848819000})","[:dependency {scope: runtime,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.springframework.integration:spring-integration-stream:2.0.6.RELEASE,version: 2.0.6.RELEASE,timestamp: 1334184267000})","[:dependency {scope: test,targetVersion: 1.2.12}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.janusgraph:janusgraph-hbase:0.6.3-20230105-124915.e5a85a4,version: 0.6.3-20230105-124915.e5a85a4,timestamp: 1672923264000})","[:dependency {scope: runtime,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.jboss.resteasy:RESTEASY-1008-WF8:3.0.16.Final,version: 3.0.16.Final,timestamp: 1455882678000})","[:dependency {scope: provided,targetVersion: 1.2.14}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.apache.ignite:ignite-hadoop:1.9.0,version: 1.9.0,timestamp: 1488464456000})","[:dependency {scope: compile,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.10,version: 2.13.10,timestamp: 1588705725000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.11,version: 2.13.11,timestamp: 1588792031000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.12,version: 2.13.12,timestamp: 1588878290000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.13,version: 2.13.13,timestamp: 1588965488000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.14,version: 2.13.14,timestamp: 1589223869000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.15,version: 2.13.15,timestamp: 1589310244000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.16,version: 2.13.16,timestamp: 1589396679000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.17,version: 2.13.17,timestamp: 1589487282000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.19,version: 2.13.19,timestamp: 1589833578000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.18,version: 2.13.18,timestamp: 1589576633000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.20,version: 2.13.20,timestamp: 1589915514000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.21,version: 2.13.21,timestamp: 1590001377000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.22,version: 2.13.22,timestamp: 1590089938000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.23,version: 2.13.23,timestamp: 1590173799000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.24,version: 2.13.24,timestamp: 1590519774000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.26,version: 2.13.26,timestamp: 1590694782000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.25,version: 2.13.25,timestamp: 1590606328000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.28,version: 2.13.28,timestamp: 1591125020000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.27,version: 2.13.27,timestamp: 1591038270000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: software.amazon.awssdk:rdsdata:2.13.29,version: 2.13.29,timestamp: 1591210888000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.10,version: 6.7.10,timestamp: 1592284329000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.11,version: 6.7.11,timestamp: 1592290297000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.12,version: 6.7.12,timestamp: 1592304401000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.13,version: 6.7.13,timestamp: 1592325574000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.14,version: 6.7.14,timestamp: 1592380763000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.15,version: 6.7.15,timestamp: 1592392780000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.16,version: 6.7.16,timestamp: 1592478013000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.17,version: 6.7.17,timestamp: 1592494287000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.19,version: 6.7.19,timestamp: 1592544448000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.18,version: 6.7.18,timestamp: 1592499713000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.20,version: 6.7.20,timestamp: 1592554159000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.22,version: 6.7.22,timestamp: 1592813845000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.21,version: 6.7.21,timestamp: 1592633336000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.24,version: 6.7.24,timestamp: 1592887940000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.23,version: 6.7.23,timestamp: 1592848627000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.25,version: 6.7.25,timestamp: 1592982141000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.26,version: 6.7.26,timestamp: 1592986681000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.27,version: 6.7.27,timestamp: 1592995172000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.28,version: 6.7.28,timestamp: 1593006528000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.29,version: 6.7.29,timestamp: 1593013862000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.1,version: 2.0.1,timestamp: 1531942024000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.2,version: 2.0.2,timestamp: 1533650565000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.3,version: 2.0.3,timestamp: 1538639882000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.4,version: 2.0.4,timestamp: 1539346736000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.5,version: 2.0.5,timestamp: 1541498388000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.6,version: 2.0.6,timestamp: 1542198263000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.7,version: 2.0.7,timestamp: 1548929983000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.8,version: 2.0.8,timestamp: 1572370221000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.30,version: 6.7.30,timestamp: 1593026515000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.ibissource:ibis-ladybug:2.0.9,version: 2.0.9,timestamp: 1574427087000})","[:dependency {scope: compile,targetVersion: 1.2.16}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.31,version: 6.7.31,timestamp: 1593062346000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.32,version: 6.7.32,timestamp: 1593067178000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.35,version: 6.7.35,timestamp: 1593124823000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.34,version: 6.7.34,timestamp: 1593093198000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.33,version: 6.7.33,timestamp: 1593072269000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.36,version: 6.7.36,timestamp: 1593150674000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.37,version: 6.7.37,timestamp: 1593155778000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.38,version: 6.7.38,timestamp: 1593179289000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.39,version: 6.7.39,timestamp: 1593191296000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.40,version: 6.7.40,timestamp: 1593240789000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.41,version: 6.7.41,timestamp: 1593318105000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.42,version: 6.7.42,timestamp: 1593323638000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.43,version: 6.7.43,timestamp: 1593331536000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.44,version: 6.7.44,timestamp: 1593346387000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.45,version: 6.7.45,timestamp: 1593351207000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.46,version: 6.7.46,timestamp: 1593404372000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.47,version: 6.7.47,timestamp: 1593408799000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.48,version: 6.7.48,timestamp: 1593423039000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.49,version: 6.7.49,timestamp: 1593433798000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.50,version: 6.7.50,timestamp: 1593438598000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.51,version: 6.7.51,timestamp: 1593446082000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.52,version: 6.7.52,timestamp: 1593494021000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.53,version: 6.7.53,timestamp: 1593504188000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.54,version: 6.7.54,timestamp: 1593510393000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.55,version: 6.7.55,timestamp: 1593520815000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.56,version: 6.7.56,timestamp: 1593529454000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.57,version: 6.7.57,timestamp: 1593578605000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.58,version: 6.7.58,timestamp: 1593583260000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.59,version: 6.7.59,timestamp: 1593588446000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.60,version: 6.7.60,timestamp: 1593606380000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.62,version: 6.7.62,timestamp: 1593626339000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.61,version: 6.7.61,timestamp: 1593617100000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.63,version: 6.7.63,timestamp: 1593638272000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.64,version: 6.7.64,timestamp: 1593682870000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.67,version: 6.7.67,timestamp: 1593764407000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.65,version: 6.7.65,timestamp: 1593692387000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.66,version: 6.7.66,timestamp: 1593750314000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.68,version: 6.7.68,timestamp: 1593773045000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.69,version: 6.7.69,timestamp: 1593781018000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.70,version: 6.7.70,timestamp: 1593793679000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.72,version: 6.7.72,timestamp: 1593881032000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.71,version: 6.7.71,timestamp: 1593807558000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.73,version: 6.7.73,timestamp: 1593968890000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.74,version: 6.7.74,timestamp: 1594004140000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.76,version: 6.7.76,timestamp: 1594019508000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.75,version: 6.7.75,timestamp: 1594012283000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.77,version: 6.7.77,timestamp: 1594031033000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.78,version: 6.7.78,timestamp: 1594060043000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.79,version: 6.7.79,timestamp: 1594118185000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.80,version: 6.7.80,timestamp: 1594188327000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.81,version: 6.7.81,timestamp: 1594197180000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.83,version: 6.7.83,timestamp: 1594218701000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.82,version: 6.7.82,timestamp: 1594213671000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
"(:Release {id: org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.keymgt:6.7.84,version: 6.7.84,timestamp: 1594237500000})","[:dependency {scope: test,targetVersion: 1.2.17}]","(:Artifact {found: true,id: log4j:log4j})"
